trade_date,pct_chg,n_stocks,index
20221017,0.45397061992172566,2672,967.2204950471225
20221018,0.03165370427681316,2672,967.5266561623296
20221019,-1.0801728183262984,2673,957.0756962124027
20221020,-0.3316286058049986,2675,953.901759424555
20221021,0.03351041012124653,2675,954.221415816292
20221024,-1.958918998321817,2676,935.5289912158114
20221025,-0.1780881603656054,2676,933.8629248456681
20221026,0.9130761710267407,2676,942.3898046824872
20221027,-0.4842182628401857,2676,937.8265811410706
20221028,-2.3798598787035345,2678,915.5076226046772
20221031,-0.3589759380931096,2679,912.2211705281181
20221101,2.7146065504701666,2678,936.9843861780502
20221102,1.096844188662988,2677,947.2616449665236
20221103,-0.3158651354844242,2677,944.269575688258
20221104,2.594674132291143,2678,968.7702941077366
20221107,0.28876027340675164,2679,971.5677178576854
20221108,-0.35758724836467093,2678,968.0935155893987
20221109,-0.4854189579795885,2676,963.3942061337567
20221110,-0.3939135083819679,2678,959.5992662168265
20221111,1.7929299211267655,2680,976.804208583741
20221114,0.07410721058956789,2680,977.5280909356437
20221115,1.6512945412864928,2680,993.6699589408062
20221116,-0.5105605436175752,2684,988.5966721966734
20221117,-0.06924583543538297,2683,987.9121101719244
20221118,-0.3806868432458634,2683,984.1512587456673
20221121,-0.3311209560460935,2685,980.892527688769
20221122,0.15853191922984733,2686,982.4475554384962
20221123,0.09100027098436078,2687,983.3415853762245
20221124,-0.19123027725591432,2688,981.4611385361368
20221125,0.5259480831424362,2688,986.6231145810556
20221128,-0.6981125945484832,2690,979.7353743574388
20221129,2.4445446869937046,2691,1003.6854433978915
20221130,0.22631800974477562,2692,1005.9569643174875
20221201,0.5723189568003906,2692,1011.7142467215301
20221202,-0.32944122840593715,2693,1008.3812428791728
20221205,1.9329411779813517,2693,1027.8726591538243
20221206,0.19134137275459126,2694,1029.8394048100183
20221207,-0.3626894598199304,2694,1026.1042858357
20221208,-0.15636320838035356,2697,1024.4998362530391
20221209,0.5182213464743656,2695,1029.8090130990972
20221212,-0.8368170523177154,2699,1021.1913956711793
20221213,-0.029242909677031748,2699,1020.8927695937135
20221214,0.06695306166337904,2699,1021.5762885592566
20221215,-0.10556040739773001,2701,1020.4979084671749
20221216,-0.024762158520456812,2704,1020.2452111573823
20221219,-1.8473083933522385,2700,1001.3981357388977
20221220,-1.1528355603033456,2701,989.8536619298849
20221221,-0.0957580299783154,2700,988.9057975635527
20221222,-0.21675899452041947,2704,986.7622552999999
20221223,-0.16997178110023545,2707,985.0850379194416
20221226,0.7257659481876639,2707,992.2344496853525
20221227,1.0915428053854477,2709,1003.0651134334487
20221228,-0.34369184972152256,2708,999.617660391178
20221229,-0.49846665501879067,2711,994.6348996764489
20221230,0.5262841115258091,2713,999.8695051211366
20230103,1.0697061571144504,2713,1010.5651707805272
20230104,0.36024951587251147,2715,1014.2057269158402
20230105,1.2125620995156823,2715,1026.5036011715392
20230106,0.036003526655443575,2716,1026.873178669206
20230109,0.5854856398378049,2715,1032.88537366966
20230110,-0.04244688115799931,2717,1032.4469460426003
20230111,-0.11518144023667544,2717,1031.2577587804687
20230112,0.1283027398187828,2715,1032.5808907395779
20230113,1.089719628095778,2716,1043.8331273819335
20230116,0.9958344796226435,2716,1054.227977574126
20230117,-0.14911720841048662,2716,1052.655942243685
20230118,0.09632163054924968,2716,1053.6698776113278
20230119,0.5053234263621814,2716,1058.9943183394196
20230120,0.726035443450211,2716,1066.6829924346875
20230130,0.46457896956408157,2716,1071.638577289456
20230131,-0.4920374326686285,2714,1066.3657143462744
20230201,1.117897271326289,2717,1078.2865875693105
20230202,-0.01993219696774113,2718,1078.0716613627997
20230203,-0.500954853247439,2718,1072.6710090537174
20230206,-0.7146054368305088,2718,1065.005643703715
