ts_code,trade_date,adj_factor
600606.SH,20240206,164.595
600606.SH,20240205,164.595
600606.SH,20240202,164.595
600606.SH,20240201,164.595
600606.SH,20240131,164.595
600606.SH,20240130,164.595
600606.SH,20240129,164.595
600606.SH,20240126,164.595
600606.SH,20240125,164.595
600606.SH,20240124,164.595
600606.SH,20240123,164.595
600606.SH,20240122,164.595
600606.SH,20240119,164.595
600606.SH,20240118,164.595
600606.SH,20240117,164.595
600606.SH,20240116,164.595
600606.SH,20240115,164.595
600606.SH,20240112,164.595
600606.SH,20240111,164.595
600606.SH,20240110,164.595
600606.SH,20240109,164.595
600606.SH,20240108,164.595
600606.SH,20240105,164.595
600606.SH,20240104,164.595
600606.SH,20240103,164.595
600606.SH,20240102,164.595
600606.SH,20231229,164.595
600606.SH,20231228,164.595
600606.SH,20231227,164.595
600606.SH,20231226,164.595
600606.SH,20231225,164.595
600606.SH,20231222,164.595
600606.SH,20231221,164.595
600606.SH,20231220,164.595
600606.SH,20231219,164.595
600606.SH,20231218,164.595
600606.SH,20231215,164.595
600606.SH,20231214,164.595
600606.SH,20231213,164.595
600606.SH,20231212,164.595
600606.SH,20231211,164.595
600606.SH,20231208,164.595
600606.SH,20231207,164.595
600606.SH,20231206,164.595
600606.SH,20231205,164.595
600606.SH,20231204,164.595
600606.SH,20231201,164.595
600606.SH,20231130,164.595
600606.SH,20231129,164.595
600606.SH,20231128,164.595
600606.SH,20231127,164.595
600606.SH,20231124,164.595
600606.SH,20231123,164.595
600606.SH,20231122,164.595
600606.SH,20231121,164.595
600606.SH,20231120,164.595
600606.SH,20231117,164.595
600606.SH,20231116,164.595
600606.SH,20231115,164.595
600606.SH,20231114,164.595
600606.SH,20231113,164.595
600606.SH,20231110,164.595
600606.SH,20231109,164.595
600606.SH,20231108,164.595
600606.SH,20231107,164.595
600606.SH,20231106,164.595
600606.SH,20231103,164.595
600606.SH,20231102,164.595
600606.SH,20231101,164.595
600606.SH,20231031,164.595
600606.SH,20231030,164.595
600606.SH,20231027,164.595
600606.SH,20231026,164.595
600606.SH,20231025,164.595
600606.SH,20231024,164.595
600606.SH,20231023,164.595
600606.SH,20231020,164.595
600606.SH,20231019,164.595
600606.SH,20231018,164.595
600606.SH,20231017,164.595
600606.SH,20231016,164.595
600606.SH,20231013,164.595
600606.SH,20231012,164.595
600606.SH,20231011,164.595
600606.SH,20231010,164.595
