ts_code,trade_date,adj_factor
920523.BJ,20240516,3.4555
920523.BJ,20240515,3.4555
920523.BJ,20240514,3.4555
920523.BJ,20240513,3.4555
920523.BJ,20240510,3.4555
920523.BJ,20240509,3.4555
920523.BJ,20240508,3.4555
920523.BJ,20240507,3.4555
920523.BJ,20240506,3.4555
920523.BJ,20240430,3.4555
920523.BJ,20240429,3.4555
920523.BJ,20240426,3.4555
920523.BJ,20240425,3.4555
920523.BJ,20240424,3.4555
920523.BJ,20240423,3.4555
920523.BJ,20240422,3.4555
920523.BJ,20240419,3.4555
920523.BJ,20240418,3.4555
920523.BJ,20240417,3.4555
920523.BJ,20240416,3.4555
920523.BJ,20240415,3.4555
920523.BJ,20240412,3.4555
920523.BJ,20240411,3.4555
920523.BJ,20240410,3.4555
920523.BJ,20240409,3.4555
920523.BJ,20240408,3.4555
920523.BJ,20240403,3.4555
920523.BJ,20240402,3.4555
920523.BJ,20240401,3.4555
920523.BJ,20240329,3.4555
920523.BJ,20240328,3.4555
920523.BJ,20240327,3.4555
920523.BJ,20240326,3.4555
920523.BJ,20240325,3.4555
920523.BJ,20240322,3.4555
920523.BJ,20240321,3.4555
920523.BJ,20240320,3.4555
920523.BJ,20240319,3.4555
920523.BJ,20240318,3.4555
920523.BJ,20240315,3.4555
920523.BJ,20240314,3.4555
920523.BJ,20240313,3.4555
920523.BJ,20240312,3.4555
920523.BJ,20240311,3.4555
920523.BJ,20240308,3.4555
920523.BJ,20240307,3.4555
920523.BJ,20240306,3.4555
920523.BJ,20240305,3.4555
920523.BJ,20240304,3.4555
920523.BJ,20240301,3.4555
920523.BJ,20240229,3.4555
920523.BJ,20240228,3.4555
920523.BJ,20240227,3.4555
920523.BJ,20240226,3.4555
920523.BJ,20240223,3.4555
920523.BJ,20240222,3.4555
920523.BJ,20240221,3.4555
920523.BJ,20240220,3.4555
920523.BJ,20240219,3.4555
920523.BJ,20240208,3.4555
920523.BJ,20240207,3.4555
920523.BJ,20240206,3.4555
920523.BJ,20240205,3.4555
920523.BJ,20240202,3.4555
920523.BJ,20240201,3.4555
920523.BJ,20240131,3.4555
920523.BJ,20240130,3.4555
920523.BJ,20240129,3.4555
920523.BJ,20240126,3.4555
920523.BJ,20240125,3.4555
920523.BJ,20240124,3.4555
920523.BJ,20240123,3.4555
920523.BJ,20240122,3.4555
920523.BJ,20240119,3.4555
920523.BJ,20240118,3.4555
920523.BJ,20240117,3.4555
920523.BJ,20240116,3.4555
920523.BJ,20240115,3.4555
920523.BJ,20240112,3.4555
920523.BJ,20240111,3.4555
920523.BJ,20240110,3.4555
920523.BJ,20240109,3.4555
920523.BJ,20240108,3.4555
920523.BJ,20240105,3.4555
920523.BJ,20240104,3.4555
920523.BJ,20240103,3.4555
920523.BJ,20240102,3.4555
920523.BJ,20231229,3.4555
920523.BJ,20231228,3.4555
920523.BJ,20231227,3.4555
920523.BJ,20231226,3.4555
920523.BJ,20231225,3.4555
920523.BJ,20231222,3.4555
920523.BJ,20231221,3.4555
920523.BJ,20231220,3.4555
920523.BJ,20231219,3.4555
920523.BJ,20231218,3.4555
920523.BJ,20231215,3.4555
920523.BJ,20231214,3.4555
920523.BJ,20231213,3.4555
920523.BJ,20231212,3.4555
920523.BJ,20231211,3.4555
920523.BJ,20231208,3.4555
920523.BJ,20231207,3.4555
920523.BJ,20231206,3.4555
920523.BJ,20231205,3.4555
920523.BJ,20231204,3.4555
920523.BJ,20231201,3.4555
920523.BJ,20231130,3.4555
920523.BJ,20231129,3.4555
920523.BJ,20231128,3.4555
920523.BJ,20231127,3.4555
920523.BJ,20231124,3.4555
920523.BJ,20231123,3.4555
920523.BJ,20231122,3.4555
920523.BJ,20231121,3.4555
920523.BJ,20231120,3.4555
920523.BJ,20231117,3.4555
920523.BJ,20231116,3.4555
920523.BJ,20231115,3.4555
920523.BJ,20231114,3.4555
920523.BJ,20231113,3.4555
920523.BJ,20231110,3.4555
920523.BJ,20231109,3.4555
920523.BJ,20231108,3.4555
920523.BJ,20231107,3.4555
920523.BJ,20231106,3.4555
920523.BJ,20231103,3.4555
920523.BJ,20231102,3.4555
920523.BJ,20231101,3.4555
920523.BJ,20231031,3.4555
920523.BJ,20231030,3.4555
920523.BJ,20231027,3.4555
920523.BJ,20231026,3.4555
920523.BJ,20231025,3.4555
920523.BJ,20231024,3.4555
920523.BJ,20231023,3.4555
920523.BJ,20231020,3.4555
920523.BJ,20231019,3.4555
920523.BJ,20231018,3.4555
920523.BJ,20231017,3.4555
920523.BJ,20231016,3.4555
920523.BJ,20231013,3.4555
920523.BJ,20231012,3.4555
920523.BJ,20231011,3.4555
920523.BJ,20231010,3.4555
920523.BJ,20231009,3.4555
920523.BJ,20230928,3.4555
920523.BJ,20230927,3.4555
920523.BJ,20230926,3.4555
920523.BJ,20230925,3.4555
920523.BJ,20230922,3.4555
920523.BJ,20230921,3.4555
920523.BJ,20230920,3.4555
920523.BJ,20230919,3.4555
920523.BJ,20230918,3.4555
920523.BJ,20230915,3.4555
920523.BJ,20230914,3.4555
920523.BJ,20230913,3.4555
920523.BJ,20230912,3.4555
920523.BJ,20230911,3.4555
920523.BJ,20230908,3.4555
920523.BJ,20230907,3.4555
920523.BJ,20230906,3.4555
920523.BJ,20230905,3.4555
920523.BJ,20230904,3.4555
920523.BJ,20230901,3.4555
920523.BJ,20230831,3.4555
920523.BJ,20230830,3.4555
920523.BJ,20230829,3.4555
920523.BJ,20230828,3.4555
920523.BJ,20230825,3.4555
920523.BJ,20230824,3.4555
920523.BJ,20230823,3.4555
920523.BJ,20230822,3.4555
920523.BJ,20230821,3.4555
920523.BJ,20230818,3.4555
920523.BJ,20230817,3.4555
920523.BJ,20230816,3.4555
920523.BJ,20230815,3.4555
920523.BJ,20230814,3.4555
920523.BJ,20230811,3.4555
920523.BJ,20230810,3.4555
920523.BJ,20230809,3.4555
920523.BJ,20230808,3.4555
920523.BJ,20230807,3.4555
920523.BJ,20230804,3.4555
920523.BJ,20230803,3.4555
920523.BJ,20230802,3.4555
920523.BJ,20230801,3.4555
920523.BJ,20230731,3.4555
920523.BJ,20230728,3.4555
920523.BJ,20230727,3.4555
920523.BJ,20230726,3.4555
920523.BJ,20230725,3.4555
920523.BJ,20230724,3.4555
920523.BJ,20230721,3.4555
920523.BJ,20230720,3.4555
920523.BJ,20230719,3.4555
920523.BJ,20230718,3.4555
920523.BJ,20230717,3.4555
920523.BJ,20230714,3.4555
920523.BJ,20230713,3.4555
920523.BJ,20230712,3.4555
920523.BJ,20230711,3.4555
920523.BJ,20230710,3.4555
920523.BJ,20230707,3.4555
920523.BJ,20230706,3.4555
920523.BJ,20230705,3.4555
920523.BJ,20230704,3.4555
920523.BJ,20230703,3.4555
920523.BJ,20230630,3.4555
920523.BJ,20230629,3.4555
920523.BJ,20230628,3.4555
920523.BJ,20230627,3.4555
920523.BJ,20230626,3.4555
920523.BJ,20230621,3.4555
920523.BJ,20230620,3.4555
920523.BJ,20230619,3.4555
920523.BJ,20230616,3.4555
920523.BJ,20230615,3.4555
920523.BJ,20230614,3.4555
920523.BJ,20230613,3.4555
920523.BJ,20230612,3.4555
920523.BJ,20230609,3.4555
920523.BJ,20230608,3.4555
920523.BJ,20230607,3.4555
920523.BJ,20230606,3.4555
920523.BJ,20230605,3.4555
920523.BJ,20230602,3.4555
920523.BJ,20230601,3.3982
920523.BJ,20230531,3.3982
920523.BJ,20230530,3.3982
920523.BJ,20230529,3.3982
920523.BJ,20230526,3.3982
920523.BJ,20230525,3.3982
920523.BJ,20230524,3.3982
920523.BJ,20230523,3.3982
920523.BJ,20230522,3.3982
920523.BJ,20230519,3.3982
920523.BJ,20230518,3.3982
920523.BJ,20230517,3.3982
920523.BJ,20230516,3.3982
920523.BJ,20230515,3.3982
920523.BJ,20230512,3.3982
920523.BJ,20230511,3.3982
920523.BJ,20230510,3.3982
920523.BJ,20230509,3.3982
920523.BJ,20230508,3.3982
920523.BJ,20230505,3.3982
920523.BJ,20230504,3.3982
920523.BJ,20230428,3.3982
920523.BJ,20230427,3.3982
920523.BJ,20230426,3.3982
920523.BJ,20230425,3.3982
920523.BJ,20230424,3.3982
920523.BJ,20230421,3.3982
920523.BJ,20230420,3.3982
920523.BJ,20230419,3.3982
920523.BJ,20230418,3.3982
920523.BJ,20230417,3.3982
920523.BJ,20230414,3.3982
920523.BJ,20230413,3.3982
920523.BJ,20230412,3.3982
920523.BJ,20230411,3.3982
920523.BJ,20230410,3.3982
920523.BJ,20230407,3.3982
920523.BJ,20230406,3.3982
920523.BJ,20230404,3.3982
920523.BJ,20230403,3.3982
920523.BJ,20230331,3.3982
920523.BJ,20230330,3.3982
920523.BJ,20230329,3.3982
920523.BJ,20230328,3.3982
920523.BJ,20230327,3.3982
920523.BJ,20230324,3.3982
920523.BJ,20230323,3.3982
920523.BJ,20230322,3.3982
920523.BJ,20230321,3.3982
920523.BJ,20230320,3.3982
920523.BJ,20230317,3.3982
920523.BJ,20230316,3.3982
920523.BJ,20230315,3.3982
920523.BJ,20230314,3.3982
920523.BJ,20230313,3.3982
920523.BJ,20230310,3.3982
920523.BJ,20230309,3.3982
920523.BJ,20230308,3.3982
920523.BJ,20230307,3.3982
920523.BJ,20230306,3.3982
920523.BJ,20230303,3.3982
920523.BJ,20230302,3.3982
920523.BJ,20230301,3.3982
920523.BJ,20230228,3.3982
920523.BJ,20230227,3.3982
920523.BJ,20230224,3.3982
920523.BJ,20230223,3.3982
920523.BJ,20230222,3.3982
920523.BJ,20230221,3.3982
920523.BJ,20230220,3.3982
920523.BJ,20230217,3.3982
920523.BJ,20230216,3.3982
920523.BJ,20230215,3.3982
920523.BJ,20230214,3.3982
920523.BJ,20230213,3.3982
920523.BJ,20230210,3.3982
920523.BJ,20230209,3.3982
920523.BJ,20230208,3.3982
920523.BJ,20230207,3.3982
920523.BJ,20230206,3.3982
920523.BJ,20230203,3.3982
920523.BJ,20230202,3.3982
920523.BJ,20230201,3.3982
920523.BJ,20230131,3.3982
920523.BJ,20230130,3.3982
920523.BJ,20230120,3.3982
920523.BJ,20230119,3.3982
920523.BJ,20230118,3.3982
920523.BJ,20230117,3.3982
920523.BJ,20230116,3.3982
920523.BJ,20230113,3.3982
920523.BJ,20230112,3.3982
920523.BJ,20230111,3.3982
920523.BJ,20230110,3.3982
920523.BJ,20230109,3.3982
920523.BJ,20230106,3.3982
920523.BJ,20230105,3.3982
920523.BJ,20230104,3.3982
920523.BJ,20230103,3.3982
920523.BJ,20221230,3.3982
920523.BJ,20221229,3.3982
920523.BJ,20221228,3.3982
920523.BJ,20221227,3.3982
920523.BJ,20221226,3.3982
920523.BJ,20221223,3.3982
920523.BJ,20221222,3.3982
920523.BJ,20221221,3.3982
920523.BJ,20221220,3.3982
920523.BJ,20221219,3.3982
920523.BJ,20221216,3.3982
920523.BJ,20221215,3.3982
920523.BJ,20221214,3.3982
920523.BJ,20221213,3.3982
920523.BJ,20221212,3.3982
920523.BJ,20221209,3.3982
920523.BJ,20221208,3.3982
920523.BJ,20221207,3.3982
920523.BJ,20221206,3.3982
920523.BJ,20221205,3.3982
920523.BJ,20221202,3.3982
920523.BJ,20221201,3.3982
920523.BJ,20221130,3.3982
920523.BJ,20221129,3.3982
920523.BJ,20221128,3.3982
920523.BJ,20221125,3.3982
920523.BJ,20221124,3.3982
920523.BJ,20221123,3.3982
920523.BJ,20221122,3.3982
920523.BJ,20221121,3.3982
920523.BJ,20221118,3.3982
920523.BJ,20221117,3.3982
920523.BJ,20221116,3.3982
920523.BJ,20221115,3.3982
920523.BJ,20221114,3.3982
920523.BJ,20221111,3.3982
920523.BJ,20221110,3.3982
920523.BJ,20221109,3.3982
920523.BJ,20221108,3.3982
920523.BJ,20221107,3.3982
920523.BJ,20221104,3.3982
920523.BJ,20221103,3.3982
920523.BJ,20221102,3.3982
920523.BJ,20221101,3.3982
920523.BJ,20221031,3.3982
920523.BJ,20221028,3.3982
920523.BJ,20221027,3.3982
920523.BJ,20221026,3.3982
920523.BJ,20221025,3.3982
920523.BJ,20221024,3.3982
920523.BJ,20221021,3.3982
920523.BJ,20221020,3.3982
920523.BJ,20221019,3.3982
920523.BJ,20221018,3.3982
920523.BJ,20221017,3.3982
920523.BJ,20221014,3.3982
920523.BJ,20221013,3.3982
920523.BJ,20221012,3.3982
920523.BJ,20221011,3.3982
920523.BJ,20221010,3.3982
920523.BJ,20220930,3.3982
920523.BJ,20220929,3.3982
920523.BJ,20220928,3.3982
920523.BJ,20220927,3.3982
920523.BJ,20220926,3.3982
920523.BJ,20220923,3.3982
920523.BJ,20220922,3.3982
920523.BJ,20220921,3.3982
920523.BJ,20220920,3.3982
920523.BJ,20220919,3.3982
920523.BJ,20220916,3.3982
920523.BJ,20220915,3.3982
920523.BJ,20220914,3.3982
920523.BJ,20220913,3.3982
920523.BJ,20220909,3.3982
920523.BJ,20220908,3.3982
920523.BJ,20220907,3.3982
920523.BJ,20220906,3.3982
920523.BJ,20220905,3.3982
920523.BJ,20220902,3.3982
920523.BJ,20220901,3.3982
920523.BJ,20220831,3.3982
920523.BJ,20220830,3.3982
920523.BJ,20220829,3.3982
920523.BJ,20220826,3.3982
920523.BJ,20220825,3.3982
920523.BJ,20220824,3.3982
920523.BJ,20220823,3.3982
920523.BJ,20220822,3.3982
920523.BJ,20220819,3.3982
920523.BJ,20220818,3.3982
920523.BJ,20220817,3.3982
920523.BJ,20220816,3.3982
920523.BJ,20220815,3.3982
920523.BJ,20220812,3.3982
920523.BJ,20220811,3.3982
920523.BJ,20220810,3.3982
920523.BJ,20220809,3.3982
920523.BJ,20220808,3.3982
920523.BJ,20220805,3.3982
920523.BJ,20220804,3.3982
920523.BJ,20220803,3.3982
920523.BJ,20220802,3.3982
920523.BJ,20220801,3.3982
920523.BJ,20220729,3.3982
920523.BJ,20220728,3.3982
920523.BJ,20220727,3.3982
920523.BJ,20220726,3.3982
920523.BJ,20220725,3.3982
920523.BJ,20220722,3.3982
920523.BJ,20220721,3.3982
920523.BJ,20220720,3.3982
920523.BJ,20220719,3.3982
920523.BJ,20220718,3.3982
920523.BJ,20220715,3.3982
920523.BJ,20220714,3.3982
920523.BJ,20220713,3.3982
920523.BJ,20220712,3.3982
920523.BJ,20220711,3.3982
920523.BJ,20220708,3.3982
920523.BJ,20220707,3.3982
920523.BJ,20220706,3.3982
920523.BJ,20220705,3.3982
920523.BJ,20220704,3.3982
920523.BJ,20220701,3.3982
920523.BJ,20220630,3.3982
920523.BJ,20220629,3.3982
920523.BJ,20220628,3.3982
920523.BJ,20220627,3.3982
920523.BJ,20220624,3.3982
920523.BJ,20220623,3.3982
920523.BJ,20220622,3.3982
920523.BJ,20220621,3.3982
920523.BJ,20220620,3.3982
920523.BJ,20220617,3.3982
920523.BJ,20220616,3.3982
920523.BJ,20220615,3.3982
920523.BJ,20220614,3.3982
920523.BJ,20220613,3.3982
920523.BJ,20220610,3.3982
920523.BJ,20220609,3.3982
920523.BJ,20220608,3.3982
920523.BJ,20220607,3.3982
