ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20231221,5338.762,5286.4531,5352.5049,5253.3152,5309.2865,29.4755,0.5552,81522318.0,96981042.377
000905.SH,20231220,5309.2865,5385.9956,5388.463,5308.5727,5379.8735,-70.587,-1.3121,75387097.0,86209163.297
000905.SH,20231219,5379.8735,5380.7346,5406.9585,5344.0325,5385.2702,-5.3967,-0.1002,70323722.0,82191407.66
000905.SH,20231218,5385.2702,5436.9888,5448.0772,5374.5881,5449.7864,-64.5162,-1.1838,78022493.0,88053828.534
000905.SH,20231215,5449.7864,5499.3692,5516.2199,5438.5282,5489.3267,-39.5403,-0.7203,80125418.0,94631897.36
000905.SH,20231214,5489.3267,5532.9861,5557.3719,5487.7542,5507.5128,-18.1861,-0.3302,74118097.0,89999982.306
000905.SH,20231213,5507.5128,5557.0463,5558.0572,5507.5128,5566.1778,-58.665,-1.054,75929894.0,96464641.302
000905.SH,20231212,5566.1778,5560.4355,5576.0089,5545.1624,5564.8538,1.324,0.0238,84232331.0,110639096.839
000905.SH,20231211,5564.8538,5473.6514,5574.1237,5429.443,5497.9897,66.8641,1.2162,118605911.0,140631297.822
000905.SH,20231208,5497.9897,5484.6829,5522.0575,5477.5286,5481.1355,16.8542,0.3075,118123774.0,140788027.712
000905.SH,20231207,5481.1355,5475.2678,5501.4783,5443.2936,5481.824,-0.6885,-0.0126,89048687.0,103621973.821
000905.SH,20231206,5481.824,5448.4575,5513.0858,5443.0738,5460.4088,21.4152,0.3922,88373997.0,102084528.903
000905.SH,20231205,5460.4088,5542.8669,5542.8669,5460.4088,5559.0682,-98.6594,-1.7747,91298248.0,103824359.572
000905.SH,20231204,5559.0682,5578.4205,5590.8353,5559.0682,5566.8689,-7.8007,-0.1401,99306543.0,119628388.288
000905.SH,20231201,5566.8689,5541.226,5576.7275,5521.0558,5545.0504,21.8185,0.3935,93371708.0,107454844.322
000905.SH,20231130,5545.0504,5548.524,5560.3283,5509.9646,5553.3349,-8.2845,-0.1492,87841505.0,95350481.599
000905.SH,20231129,5553.3349,5588.7739,5593.3712,5547.8408,5591.4955,-38.1606,-0.6825,89509151.0,96924084.4
000905.SH,20231128,5591.4955,5561.5765,5594.718,5529.5352,5566.5069,24.9886,0.4489,89373272.0,98930980.618
000905.SH,20231127,5566.5069,5562.7486,5579.7151,5531.6548,5570.4205,-3.9136,-0.0703,98218653.0,107690772.118
000905.SH,20231124,5570.4205,5619.3187,5619.3187,5556.7138,5622.9891,-52.5686,-0.9349,101248044.0,100701104.772
000905.SH,20231123,5622.9891,5566.7332,5627.7947,5548.972,5572.8986,50.0905,0.8988,98042432.0,101151204.63
000905.SH,20231122,5572.8986,5622.8615,5639.0036,5572.8986,5641.0844,-68.1858,-1.2087,104718408.0,109971792.009
000905.SH,20231121,5641.0844,5669.1651,5696.0944,5634.2723,5659.7727,-18.6883,-0.3302,114861205.0,126740611.038
000905.SH,20231120,5659.7727,5635.5867,5669.3846,5609.2691,5631.4233,28.3494,0.5034,103105072.0,119885024.783
000905.SH,20231117,5631.4233,5598.953,5632.3894,5593.4903,5609.3607,22.0626,0.3933,89422342.0,101443839.223
000905.SH,20231116,5609.3607,5647.0613,5652.4004,5609.3607,5664.617,-55.2563,-0.9755,94662677.0,105765074.961
000905.SH,20231115,5664.617,5677.5503,5684.7473,5649.7168,5630.5534,34.0636,0.605,113087937.0,131864342.621
000905.SH,20231114,5630.5534,5602.9829,5639.188,5600.7841,5605.5688,24.9846,0.4457,101073136.0,116072656.381
000905.SH,20231113,5605.5688,5589.0595,5605.5688,5565.0914,5573.0999,32.4689,0.5826,102158932.0,117833772.399
000905.SH,20231110,5573.0999,5577.3371,5585.2123,5550.8219,5592.0568,-18.9569,-0.339,94324024.0,109671917.968
000905.SH,20231109,5592.0568,5602.49,5638.0805,5582.1194,5608.0173,-15.9605,-0.2846,106362800.0,123039510.738
000905.SH,20231108,5608.0173,5602.9707,5633.9706,5577.3911,5611.0983,-3.081,-0.0549,122994558.0,139708501.031
000905.SH,20231107,5611.0983,5594.4667,5631.1001,5578.5126,5605.0621,6.0362,0.1077,120579321.0,139898836.824
000905.SH,20231106,5605.0621,5549.2909,5609.2576,5549.2909,5510.357,94.7051,1.7187,139241046.0,156664899.021
000905.SH,20231103,5510.357,5462.144,5537.7293,5462.144,5459.4517,50.9053,0.9324,97990576.0,114009935.832
000905.SH,20231102,5459.4517,5514.5172,5532.8505,5457.7453,5509.9662,-50.5145,-0.9168,90202645.0,101795786.004
000905.SH,20231101,5509.9662,5534.8883,5534.9432,5496.8278,5528.2385,-18.2723,-0.3305,87185785.0,105639439.603
000905.SH,20231031,5528.2385,5547.3243,5554.1902,5505.9335,5546.3881,-18.1496,-0.3272,105679375.0,127527068.559
000905.SH,20231030,5546.3881,5484.624,5559.7847,5483.1591,5492.0274,54.3607,0.9898,123034185.0,153066651.404
000905.SH,20231027,5492.0274,5387.2742,5514.3081,5380.9409,5398.934,93.0934,1.7243,112542804.0,132776259.32
000905.SH,20231026,5398.934,5351.1628,5404.9918,5337.4926,5375.9983,22.9357,0.4266,102485044.0,116893043.685
000905.SH,20231025,5375.9983,5386.4255,5423.0139,5375.9983,5352.0123,23.986,0.4482,114921244.0,129741397.088
000905.SH,20231024,5352.0123,5311.6694,5363.1951,5290.5047,5290.3343,61.678,1.1659,114745729.0,126190795.981
000905.SH,20231023,5290.3343,5400.5436,5400.7943,5269.8274,5423.6748,-133.3405,-2.4585,103083126.0,112227737.477
000905.SH,20231020,5423.6748,5443.4557,5473.2111,5413.0233,5464.027,-40.3522,-0.7385,94936115.0,107713531.626
000905.SH,20231019,5464.027,5496.7574,5529.8697,5463.6516,5524.5988,-60.5718,-1.0964,108078335.0,117347195.293
000905.SH,20231018,5524.5988,5586.0206,5586.0206,5519.4562,5595.3423,-70.7435,-1.2643,98953562.0,110310590.721
000905.SH,20231017,5595.3423,5585.1448,5599.424,5556.5739,5580.6666,14.6757,0.263,92516737.0,105060399.669
000905.SH,20231016,5580.6666,5633.3012,5636.3194,5559.4212,5633.3831,-52.7165,-0.9358,89867550.0,107684372.826
000905.SH,20231013,5633.3831,5645.4366,5646.0737,5616.8508,5671.6419,-38.2588,-0.6746,89391702.0,110878380.413
000905.SH,20231012,5671.6419,5655.6129,5677.8191,5642.4931,5629.7886,41.8533,0.7434,100502986.0,119947478.383
000905.SH,20231011,5629.7886,5639.0722,5674.2543,5617.8727,5630.3714,-0.5828,-0.0104,90644826.0,112202131.188
000905.SH,20231010,5630.3714,5665.6622,5678.4631,5627.4139,5658.0832,-27.7118,-0.4898,87726425.0,104621240.811
000905.SH,20231009,5658.0832,5679.6412,5680.9516,5634.3532,5690.7697,-32.6865,-0.5744,90029836.0,109095282.388
000905.SH,20230928,5690.7697,5687.6411,5704.6228,5677.531,5674.3451,16.4246,0.2895,79477338.0,101456952.318
000905.SH,20230927,5674.3451,5642.3852,5701.5084,5641.8508,5646.6544,27.6907,0.4904,81086240.0,102149151.674
000905.SH,20230926,5646.6544,5661.0321,5682.2786,5646.6544,5666.6642,-20.0098,-0.3531,74309615.0,100424427.69
000905.SH,20230925,5666.6642,5694.9025,5699.1544,5659.3191,5698.8168,-32.1526,-0.5642,93340719.0,114172282.948
000905.SH,20230922,5698.8168,5606.8347,5700.323,5603.8126,5611.9186,86.8982,1.5485,104118982.0,120276386.023
000905.SH,20230921,5611.9186,5638.4406,5666.6958,5609.2143,5651.0062,-39.0876,-0.6917,81931509.0,84847061.988
000905.SH,20230920,5651.0062,5677.9249,5689.8254,5651.0062,5687.9007,-36.8945,-0.6486,77634158.0,84080282.56
000905.SH,20230919,5687.9007,5713.4945,5713.6003,5670.4201,5719.6887,-31.788,-0.5558,85112102.0,94544819.485
000905.SH,20230918,5719.6887,5685.8527,5734.1861,5665.579,5704.6632,15.0255,0.2634,92305722.0,109249767.456
000905.SH,20230915,5704.6632,5716.2937,5741.0711,5680.8954,5702.102,2.5612,0.0449,98375964.0,110557876.2
000905.SH,20230914,5702.102,5714.6748,5721.2073,5679.199,5715.3973,-13.2953,-0.2326,90247792.0,97979765.541
000905.SH,20230913,5715.3973,5764.8241,5770.4141,5681.5003,5770.9259,-55.5286,-0.9622,91472473.0,101933192.542
000905.SH,20230912,5770.9259,5774.4661,5793.829,5763.2995,5774.7305,-3.8046,-0.0659,86041207.0,105032116.598
000905.SH,20230911,5774.7305,5723.0181,5802.2053,5704.7003,5708.6227,66.1078,1.158,112837137.0,132425678.095
000905.SH,20230908,5708.6227,5684.6558,5732.3747,5683.3973,5702.7008,5.9219,0.1038,79520028.0,93059123.325
000905.SH,20230907,5702.7008,5782.0706,5782.0706,5701.7975,5790.3806,-87.6798,-1.5142,92920518.0,105713167.276
000905.SH,20230906,5790.3806,5771.849,5800.9647,5748.6467,5788.7149,1.6657,0.0288,90480502.0,106512753.385
000905.SH,20230905,5788.7149,5819.9667,5822.0615,5779.3725,5829.784,-41.0691,-0.7045,106517658.0,114971726.103
000905.SH,20230904,5829.784,5772.0266,5829.784,5758.0309,5750.8027,78.9813,1.3734,135648873.0,135994054.181
000905.SH,20230901,5750.8027,5746.4128,5775.1769,5732.9674,5739.3984,11.4043,0.1987,104179103.0,107061408.581
000905.SH,20230831,5739.3984,5770.9531,5777.422,5728.4729,5775.1534,-35.755,-0.6191,116335134.0,121252796.161
000905.SH,20230830,5775.1534,5780.2848,5817.7342,5753.2161,5770.3155,4.8379,0.0838,136004384.0,145078565.406
000905.SH,20230829,5770.3155,5631.006,5789.9623,5626.5175,5644.1405,126.175,2.2355,160851895.0,165476278.767
000905.SH,20230828,5644.1405,5885.8843,5887.5085,5631.694,5581.2116,62.9289,1.1275,185745619.0,181457042.375
000905.SH,20230825,5581.2116,5624.7697,5648.624,5560.2171,5652.6729,-71.4613,-1.2642,106241602.0,114730298.316
000905.SH,20230824,5652.6729,5650.3593,5701.3208,5619.333,5629.4999,23.173,0.4116,108086771.0,120640882.888
000905.SH,20230823,5629.4999,5732.3943,5732.3943,5629.4999,5741.0606,-111.5607,-1.9432,94186725.0,101871329.163
000905.SH,20230822,5741.0606,5733.2548,5754.5746,5646.5119,5710.7783,30.2823,0.5303,106175193.0,120035178.924
000905.SH,20230821,5710.7783,5764.6679,5802.5119,5710.7783,5777.7972,-67.0189,-1.1599,92835698.0,96691987.126
000905.SH,20230818,5777.7972,5875.1097,5891.3976,5777.7972,5874.3609,-96.5637,-1.6438,102931845.0,109766358.594
000905.SH,20230817,5874.3609,5808.9095,5882.1512,5778.5287,5833.2155,41.1454,0.7054,113576384.0,120852973.477
000905.SH,20230816,5833.2155,5858.5966,5891.8116,5833.2155,5879.7782,-46.5627,-0.7919,104950425.0,114013689.38
