trade_date,yield
20250527,1.7261
20250528,1.6832
20250529,1.6877
20250530,1.6712
20250603,1.6764
20250604,1.6704
20250605,1.6741
20250606,1.6547
20250609,1.6559
20250610,1.6569
20250611,1.642
20250612,1.6475
20250613,1.644
20250616,1.6432
20250617,1.6364
20250618,1.6384
20250619,1.6425
20250620,1.6396
20250623,1.6418
20250624,1.648
20250625,1.6544
20250626,1.6462
20250627,1.6462
20250630,1.6469
20250701,1.6433
20250702,1.6396
20250703,1.6407
20250704,1.6433
20250707,1.6406
20250708,1.6444
20250709,1.6446
20250710,1.6616
20250711,1.6653
20250714,1.6726
20250715,1.6557
20250716,1.6617
20250717,1.663
20250718,1.6652
20250721,1.6774
20250722,1.6907
20250723,1.7041
20250724,1.7376
20250725,1.7324
20250728,1.7146
20250729,1.7466
20250730,1.718
20250731,1.7044
20250801,1.7059
20250804,1.7083
20250805,1.7061
20250806,1.6999
20250807,1.6894
20250808,1.6891
20250811,1.7203
20250812,1.7271
20250813,1.7262
20250814,1.7341
20250815,1.7465
20250818,1.7872
20250819,1.7725
20250820,1.782
20250821,1.7667
20250822,1.7818
20250825,1.7643
20250826,1.7598
20250827,1.7988
20250828,1.8478
20250829,1.8379
20250901,1.8257
20250902,1.8167
20250903,1.7984
20250904,1.806
20250905,1.826
20250908,1.8514
20250909,1.8641
20250910,1.8992
20250911,1.8743
20250912,1.867
20250916,1.8527
20250917,1.8349
20250918,1.8546
20250919,1.8789
20250922,1.8647
20250923,1.877
20250924,1.9022
20250925,1.884
20250926,1.8768
20250929,1.887
20250930,1.8605
20251009,1.8466
20251010,1.846
20251013,1.8383
20251014,1.8368
20251015,1.8449
20251016,1.8407
20251017,1.8246
20251020,1.8498
20251021,1.8357
20251022,1.8293
20251023,1.8391
20251024,1.8486
20251027,1.8423
20251028,1.8179
20251029,1.8208
20251030,1.8098
20251031,1.7954
20251103,1.7944
20251104,1.7984
20251105,1.7964
20251106,1.81
20251107,1.8142
20251110,1.8139
20251111,1.8119
20251112,1.8071
20251114,1.814
20251117,1.8109
20251118,1.8121
20251119,1.8179
20251120,1.8135
20251121,1.8166
20251124,1.821
20251125,1.8301
20251126,1.8462
20251127,1.8537
20251128,1.8412
20251201,1.8366
20251202,1.8442
20251203,1.8519
20251204,1.8718
20251205,1.848
20251208,1.8499
20251209,1.8425
20251210,1.8447
20251211,1.8404
20251212,1.8396
20251215,1.8488
20251216,1.8458
20251217,1.834
20251218,1.8356
20251219,1.8308
20251222,1.8415
20251223,1.8352
20251224,1.8356
20251225,1.8386
20251226,1.8376
20251229,1.8584
20251230,1.8582
20251231,1.8473
20260105,1.8584
20260106,1.8829
20260107,1.9019
20260108,1.8905
20260109,1.8782
20260112,1.8585
20260113,1.8519
20260114,1.8494
20260115,1.8544
20260119,1.8393
20260120,1.8326
20260121,1.8312
20260122,1.8425
20260123,1.8298
20260126,1.8242
20260127,1.8311
20260128,1.8164
20260129,1.8174
20260130,1.8112
20260202,1.82
20260203,1.8172
20260204,1.8193
20260205,1.8169
20260206,1.8102
20260209,1.8114
20260210,1.8094
20260211,1.7994
20260212,1.7893
20260213,1.7928
20260224,1.8023
20260225,1.8158
20260226,1.8288
20260227,1.7877
20260302,1.7761
20260303,1.7807
20260304,1.7768
20260305,1.7779
20260306,1.781
20260309,1.8054
20260310,1.8055
20260311,1.8075
20260312,1.8052
20260313,1.8143
20260316,1.8312
20260317,1.8314
20260318,1.8175
20260319,1.8252
20260320,1.8299
20260323,1.8316
20260324,1.8272
20260325,1.8233
20260326,1.8194
20260327,1.8172
20260330,1.8063
20260331,1.8171
20260401,1.8244
20260402,1.8209
20260403,1.8199
20260407,1.8171
20260408,1.8136
20260409,1.8192
20260410,1.8128
20260413,1.7933
20260414,1.7829
20260415,1.7809
20260416,1.7812
20260417,1.7623
20260420,1.7627
20260421,1.751
20260422,1.7389
20260423,1.7548
20260424,1.7601
20260427,1.7697
20260428,1.7654
20260429,1.7444
20260430,1.7473
