month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2024-05-01,2024,5,电子,-0.028395305249250047,0.21690288732953497,-0.001350148965012285,52.42315,2.6980000000000004,403542725.0626,2.6267866580945682,200.95
2024-06-01,2024,6,电子,-0.024405725929401045,0.31635542272589123,-0.0011112584448824496,54.58395,2.7672499999999998,425858466.77099997,4.039395571291336,200.21052631578948
2024-07-01,2024,7,电子,-0.017028708062892806,0.3241108529821086,-0.0005483974863321337,54.6359,2.7132,431641580.7437,3.2922859304724312,201.04347826086956
2024-08-01,2024,8,电子,-0.04693671377815878,0.29456015996902485,-0.002016618824262815,52.9173,2.70055,402624969.9716,3.0937395013626694,200.04545454545453
2024-09-01,2024,9,电子,0.14741212172967622,0.4579592481540402,0.007644743621522289,43.23765,2.87385,243698296.62160003,3.439589301440878,194.94736842105263
2024-10-01,2024,10,电子,0.07001736014077964,0.4918678789661864,0.004215765511329659,68.4121,3.3562,549877535.5904001,6.819324890763991,183.44444444444446
2024-11-01,2024,11,电子,-0.029897872784239277,0.4319060789690523,-0.001089647658144387,68.08080000000001,3.51365,540945818.4945999,5.754196037012022,196.95238095238096
2024-12-01,2024,12,电子,-0.03598750711531984,0.3069552868295257,-0.0014845997773545484,65.79140000000001,3.34755,570833302.8887999,5.073604505390242,199.54545454545453
2025-01-01,2025,1,电子,-0.023686495554055664,0.3650446326282169,-0.0010830607977328566,65.60419999999999,3.2706,566886591.2769,4.369047890779484,199.16666666666666
2025-02-01,2025,2,电子,0.05547575271363492,0.3568832323563785,0.0032447879636090227,67.482,3.5123,605641993.4969001,5.413168993761303,199.05555555555554
2025-03-01,2025,3,电子,-0.04233581483877269,0.22561942849197475,-0.001961374222173451,68.4367,3.49335,582317529.0712,4.087334648826468,201.47619047619048
2025-04-01,2025,4,电子,-0.01962791365525185,0.41532246613186946,-0.0006054509959535784,66.57565,3.1839000000000004,546273483.4713001,3.1575138822341877,195.66666666666666
2025-05-01,2025,5,电子,-0.012244154268212237,0.23962961931961063,-0.0005405864286879897,61.6974,3.2563,501199644.82,2.7786973047531607,203.31578947368422
2025-06-01,2025,6,电子,0.07882688544897043,0.18604358525366904,0.003866143009458701,66.5025,3.6342499999999998,581127519.6789,3.39546286138482,202.15
2025-07-01,2025,7,电子,0.022512257928444024,0.1614156465948315,0.0010177718030286557,69.7331,3.9211,655671147.9264,3.922142820814154,204.52173913043478
2025-08-01,2025,8,电子,0.11973838528405523,0.21597619469247584,0.005487887786621836,81.235,4.478,840723486.0869,5.754899999150344,203.9047619047619
2025-09-01,2025,9,电子,0.004668023420487222,0.30246372240158714,0.00038540330283897594,84.6169,4.5851,954967980.5256,5.106572083296765,202.54545454545453
2025-10-01,2025,10,电子,-0.04188472126622356,0.3099826393425662,-0.0023328797930769643,80.22755000000001,4.2976,894137309.0847,4.259739290001093,205.35294117647058
2025-11-01,2025,11,电子,-0.045521124081119524,0.22160862191090383,-0.002233225089494478,73.749,4.0954,850183485.8391,3.4478946003072104,206.55
2025-12-01,2025,12,电子,0.016277911969353687,0.1845265100219997,0.0007667873781919889,78.1534,4.1237,895760364.1548,3.615189660223489,206.43478260869566
2022-01-01,2022,1,石油石化,-0.08794888540602275,0.2792195386141906,-0.00468525045043783,41.6793,1.7243,170181665.0861,3.1208412038000137,22.736842105263158
2022-02-01,2022,2,石油石化,0.12106732014309785,0.3143367518621435,0.007348295328082682,46.0901,2.1508,189640921.6268,4.422317280138341,22.5625
2022-03-01,2022,3,石油石化,-0.11403063689879722,0.4314710086371202,-0.004891400246270647,51.1721,1.7732,181486396.93260002,5.513563437636883,22.391304347826086
2022-04-01,2022,4,石油石化,-0.09959701307392965,0.48943892683145623,-0.005050728620634847,37.608149999999995,1.6207,177406083.77170002,2.910739562096942,22.57894736842105
2022-05-01,2022,5,石油石化,0.14288243162877823,0.2428341418044577,0.007165300812717505,52.0036,2.0763,188440948.9655,3.5792404103143234,22.736842105263158
2022-06-01,2022,6,石油石化,-0.05294399783316506,0.32484929284282377,-0.002386550291462301,47.463449999999995,2.00245,176512079.2557,4.1584514554372465,22.80952380952381
2022-07-01,2022,7,石油石化,-0.0022804110229455166,0.2403883680911503,4.375968324463517e-07,47.698750000000004,2.0709999999999997,173981365.716,2.3652329537612147,23.952380952380953
2022-08-01,2022,8,石油石化,0.03495019145675604,0.3084439532204918,0.0016762211335011946,43.9947,2.0526,181114881.8444,3.5465488579080025,23.73913043478261
2022-09-01,2022,9,石油石化,-0.07345605298901303,0.345502194750697,-0.003399508847923891,50.4725,1.9747499999999998,177037950.64090002,5.153113687339231,23.428571428571427
2022-10-01,2022,10,石油石化,-0.027568595435358167,0.23869995198219157,-0.001639171397159698,51.483850000000004,1.9642,168094344.1847,4.429245541007905,23.5625
2022-11-01,2022,11,石油石化,0.10527064521023344,0.17208039324822533,0.004615782555399513,56.3458,2.1658999999999997,184515748.0526,3.5894253293807634,23.90909090909091
2022-12-01,2022,12,石油石化,-0.07120602557398337,0.20094556885430886,-0.003275566641146584,55.1175,2.07895,174384505.0598,2.8397004895795908,23.636363636363637
2023-01-01,2023,1,石油石化,0.06853521759539372,0.14149827399425946,0.004188735210229853,54.5493,2.0855,181728977.6183,2.69230546875,23.6875
2023-02-01,2023,2,石油石化,0.002031113016986774,0.134069177007253,0.00013553027058863066,56.9459,2.16525,185142414.4281,2.2738721014492755,23.75
2023-03-01,2023,3,石油石化,-0.059396984174688305,0.23836444780542673,-0.002550511936143141,44.3043,2.0338,206815326.52490002,2.060370486767486,23.956521739130434
2023-04-01,2023,4,石油石化,0.024246537072461383,0.1855605819166663,0.0013262695725907352,45.1547,1.934,256810601.65099996,1.6568848302822274,23.63157894736842
2023-05-01,2023,5,石油石化,-0.05412575073436654,0.15149056698968286,-0.0027350841935796085,41.504149999999996,1.8601999999999999,242429295.74989998,1.477922765151515,23.75
2023-06-01,2023,6,石油石化,-0.007091717296378142,0.16338233680187741,-0.0003055808658269764,39.99465,1.874,241136971.48850003,1.2805258333333334,24.0
